institution_key,unitid,institution_name,location,peer_mode,peer_group_vintage,peer_group_source,verified_date,ipeds_hd2024_coverage,herd_fy2024_coverage,herd_inst_id,herd_ncses_inst_id,herd_reported_name,herd_ipeds_unitid,scorecard_2026_06_10_coverage
IPEDS-130943,130943,University of Delaware,"Newark, DE",PILOT,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,001431,U3284001,University of Delaware,130943,present
IPEDS-164988,164988,Boston University,"Boston, MA",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,002130,U0450001,Boston University,164988,present
IPEDS-211440,211440,Carnegie Mellon University,"Pittsburgh, PA",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,003242,U0548001,Carnegie Mellon University,211440,present
IPEDS-201645,201645,Case Western Reserve University,"Cleveland, OH",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,003024,U0554001,Case Western Reserve University,201645,present
IPEDS-190415,190415,Cornell University,"Ithaca, NY",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,008779,U0852001,Cornell University,190415,present
IPEDS-131496,131496,Georgetown University,"Washington, DC",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,001445,U1197001,Georgetown University,131496,present
IPEDS-139755,139755,Georgia Institute of Technology-Main Campus,"Atlanta, GA",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,008723,U1201001,Georgia Institute of Technology,139755,present
IPEDS-151351,151351,Indiana University-Bloomington,"Bloomington, IN",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,001809,U1425002,"Indiana University, Bloomington",151351,present
IPEDS-153603,153603,Iowa State University,"Ames, IA",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,001869,U1516001,Iowa State University,153603,present
IPEDS-171100,171100,Michigan State University,"East Lansing, MI",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,002290,U1901001,Michigan State University,171100,present
IPEDS-199193,199193,North Carolina State University at Raleigh,"Raleigh, NC",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,002972,U2279001,North Carolina State University,199193,present
IPEDS-167358,167358,Northeastern University,"Boston, MA",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,002199,U2320001,Northeastern University,167358,present
IPEDS-147767,147767,Northwestern University,"Evanston, IL",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,present_exact_unitid,001739,U2352001,Northwestern University,147767,present
IPEDS-204796,204796,Ohio State University-Main Campus,"Columbus, OH",DFR_SUBMITTED,IPEDS_DFR_2025,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13,present,conditional_boundary_match,008802,U2388001,"Ohio State University, The",,present
