institution,unitid,boundary_id,peer_provenance,data_year,release_vintage,variable,value,unit,reporting_period,suppression_status,boundary_status
University of Delaware,130943,CORE,Submitted DFR group,2023,IPEDS_EF2023A,total_enrollment,24221,students,Fall 2023,reported,exact
University of Delaware,130943,CORE,Submitted DFR group,2023,IPEDS_EF2023A,undergraduate_enrollment,19772,students,Fall 2023,reported,exact
University of Delaware,130943,CORE,Submitted DFR group,2023,IPEDS_EF2023A,graduate_enrollment,4449,students,Fall 2023,reported,exact
University of Delaware,130943,CORE,Submitted DFR group,2023,IPEDS_EF2023A,full_time_enrollment,21680,students,Fall 2023,reported,exact
Boston University,164988,CORE,Submitted DFR group,2023,IPEDS_EF2023A,total_enrollment,36624,students,Fall 2023,reported,exact
Boston University,164988,CORE,Submitted DFR group,2023,IPEDS_EF2023A,undergraduate_enrollment,18656,students,Fall 2023,reported,exact
Boston University,164988,CORE,Submitted DFR group,2023,IPEDS_EF2023A,graduate_enrollment,17968,students,Fall 2023,reported,exact
Boston University,164988,CORE,Submitted DFR group,2023,IPEDS_EF2023A,full_time_enrollment,29104,students,Fall 2023,reported,exact
Carnegie Mellon University,211440,CORE,Submitted DFR group,2023,IPEDS_EF2023A,total_enrollment,15596,students,Fall 2023,reported,exact
Carnegie Mellon University,211440,CORE,Submitted DFR group,2023,IPEDS_EF2023A,undergraduate_enrollment,7289,students,Fall 2023,reported,exact
Carnegie Mellon University,211440,CORE,Submitted DFR group,2023,IPEDS_EF2023A,graduate_enrollment,8307,students,Fall 2023,reported,exact
Carnegie Mellon University,211440,CORE,Submitted DFR group,2023,IPEDS_EF2023A,full_time_enrollment,14517,students,Fall 2023,reported,exact
Case Western Reserve University,201645,CORE,Submitted DFR group,2023,IPEDS_EF2023A,total_enrollment,12266,students,Fall 2023,reported,exact
Case Western Reserve University,201645,CORE,Submitted DFR group,2023,IPEDS_EF2023A,undergraduate_enrollment,6186,students,Fall 2023,reported,exact
Case Western Reserve University,201645,CORE,Submitted DFR group,2023,IPEDS_EF2023A,graduate_enrollment,6080,students,Fall 2023,reported,exact
Case Western Reserve University,201645,CORE,Submitted DFR group,2023,IPEDS_EF2023A,full_time_enrollment,11143,students,Fall 2023,reported,exact
Cornell University,190415,CORE,Submitted DFR group,2023,IPEDS_EF2023A,total_enrollment,26264,students,Fall 2023,reported,exact
Cornell University,190415,CORE,Submitted DFR group,2023,IPEDS_EF2023A,undergraduate_enrollment,16051,students,Fall 2023,reported,exact
Cornell University,190415,CORE,Submitted DFR group,2023,IPEDS_EF2023A,graduate_enrollment,10213,students,Fall 2023,reported,exact
Cornell University,190415,CORE,Submitted DFR group,2023,IPEDS_EF2023A,full_time_enrollment,25334,students,Fall 2023,reported,exact
Georgetown University,131496,CORE,Submitted DFR group,2023,IPEDS_EF2023A,total_enrollment,20392,students,Fall 2023,reported,exact
Georgetown University,131496,CORE,Submitted DFR group,2023,IPEDS_EF2023A,undergraduate_enrollment,7968,students,Fall 2023,reported,exact
Georgetown University,131496,CORE,Submitted DFR group,2023,IPEDS_EF2023A,graduate_enrollment,12424,students,Fall 2023,reported,exact
Georgetown University,131496,CORE,Submitted DFR group,2023,IPEDS_EF2023A,full_time_enrollment,15453,students,Fall 2023,reported,exact
Georgia Institute of Technology-Main Campus,139755,CORE,Submitted DFR group,2023,IPEDS_EF2023A,total_enrollment,47946,students,Fall 2023,reported,exact
Georgia Institute of Technology-Main Campus,139755,CORE,Submitted DFR group,2023,IPEDS_EF2023A,undergraduate_enrollment,19505,students,Fall 2023,reported,exact
Georgia Institute of Technology-Main Campus,139755,CORE,Submitted DFR group,2023,IPEDS_EF2023A,graduate_enrollment,28441,students,Fall 2023,reported,exact
Georgia Institute of Technology-Main Campus,139755,CORE,Submitted DFR group,2023,IPEDS_EF2023A,full_time_enrollment,25178,students,Fall 2023,reported,exact
Indiana University-Bloomington,151351,CORE,Submitted DFR group,2023,IPEDS_EF2023A,total_enrollment,47527,students,Fall 2023,reported,exact
Indiana University-Bloomington,151351,CORE,Submitted DFR group,2023,IPEDS_EF2023A,undergraduate_enrollment,36833,students,Fall 2023,reported,exact
Indiana University-Bloomington,151351,CORE,Submitted DFR group,2023,IPEDS_EF2023A,graduate_enrollment,10694,students,Fall 2023,reported,exact
Indiana University-Bloomington,151351,CORE,Submitted DFR group,2023,IPEDS_EF2023A,full_time_enrollment,42650,students,Fall 2023,reported,exact
Iowa State University,153603,CORE,Submitted DFR group,2023,IPEDS_EF2023A,total_enrollment,30177,students,Fall 2023,reported,exact
Iowa State University,153603,CORE,Submitted DFR group,2023,IPEDS_EF2023A,undergraduate_enrollment,25332,students,Fall 2023,reported,exact
Iowa State University,153603,CORE,Submitted DFR group,2023,IPEDS_EF2023A,graduate_enrollment,4845,students,Fall 2023,reported,exact
Iowa State University,153603,CORE,Submitted DFR group,2023,IPEDS_EF2023A,full_time_enrollment,27309,students,Fall 2023,reported,exact
Michigan State University,171100,CORE,Submitted DFR group,2023,IPEDS_EF2023A,total_enrollment,51316,students,Fall 2023,reported,exact
Michigan State University,171100,CORE,Submitted DFR group,2023,IPEDS_EF2023A,undergraduate_enrollment,40483,students,Fall 2023,reported,exact
Michigan State University,171100,CORE,Submitted DFR group,2023,IPEDS_EF2023A,graduate_enrollment,10833,students,Fall 2023,reported,exact
