institution_key,unitid,variable,prior_vintage,prior_value,current_vintage,current_value,absolute_change
IPEDS-130943,130943,totalEnrollment,IPEDS_EF2022A,24039,IPEDS_EF2023A,24221,182
IPEDS-130943,130943,undergraduate,IPEDS_EF2022A,19482,IPEDS_EF2023A,19772,290
IPEDS-130943,130943,graduate,IPEDS_EF2022A,4557,IPEDS_EF2023A,4449,-108
IPEDS-130943,130943,fullTime,IPEDS_EF2022A,21672,IPEDS_EF2023A,21680,8
IPEDS-130943,130943,partTime,IPEDS_EF2022A,2367,IPEDS_EF2023A,2541,174
IPEDS-164988,164988,totalEnrollment,IPEDS_EF2022A,36714,IPEDS_EF2023A,36624,-90
IPEDS-164988,164988,undergraduate,IPEDS_EF2022A,18459,IPEDS_EF2023A,18656,197
IPEDS-164988,164988,graduate,IPEDS_EF2022A,18255,IPEDS_EF2023A,17968,-287
IPEDS-164988,164988,fullTime,IPEDS_EF2022A,29251,IPEDS_EF2023A,29104,-147
IPEDS-164988,164988,partTime,IPEDS_EF2022A,7463,IPEDS_EF2023A,7520,57
IPEDS-211440,211440,totalEnrollment,IPEDS_EF2022A,16002,IPEDS_EF2023A,15596,-406
IPEDS-211440,211440,undergraduate,IPEDS_EF2022A,7059,IPEDS_EF2023A,7289,230
IPEDS-211440,211440,graduate,IPEDS_EF2022A,8943,IPEDS_EF2023A,8307,-636
IPEDS-211440,211440,fullTime,IPEDS_EF2022A,15006,IPEDS_EF2023A,14517,-489
IPEDS-211440,211440,partTime,IPEDS_EF2022A,996,IPEDS_EF2023A,1079,83
IPEDS-201645,201645,totalEnrollment,IPEDS_EF2022A,12201,IPEDS_EF2023A,12266,65
IPEDS-201645,201645,undergraduate,IPEDS_EF2022A,6017,IPEDS_EF2023A,6186,169
IPEDS-201645,201645,graduate,IPEDS_EF2022A,6184,IPEDS_EF2023A,6080,-104
IPEDS-201645,201645,fullTime,IPEDS_EF2022A,11080,IPEDS_EF2023A,11143,63
IPEDS-201645,201645,partTime,IPEDS_EF2022A,1121,IPEDS_EF2023A,1123,2
IPEDS-190415,190415,totalEnrollment,IPEDS_EF2022A,25898,IPEDS_EF2023A,26264,366
IPEDS-190415,190415,undergraduate,IPEDS_EF2022A,15735,IPEDS_EF2023A,16051,316
IPEDS-190415,190415,graduate,IPEDS_EF2022A,10163,IPEDS_EF2023A,10213,50
IPEDS-190415,190415,fullTime,IPEDS_EF2022A,25098,IPEDS_EF2023A,25334,236
IPEDS-190415,190415,partTime,IPEDS_EF2022A,800,IPEDS_EF2023A,930,130
IPEDS-131496,131496,totalEnrollment,IPEDS_EF2022A,20984,IPEDS_EF2023A,20392,-592
IPEDS-131496,131496,undergraduate,IPEDS_EF2022A,7900,IPEDS_EF2023A,7968,68
IPEDS-131496,131496,graduate,IPEDS_EF2022A,13084,IPEDS_EF2023A,12424,-660
IPEDS-131496,131496,fullTime,IPEDS_EF2022A,15462,IPEDS_EF2023A,15453,-9
IPEDS-131496,131496,partTime,IPEDS_EF2022A,5522,IPEDS_EF2023A,4939,-583
IPEDS-139755,139755,totalEnrollment,IPEDS_EF2022A,45296,IPEDS_EF2023A,47946,2650
IPEDS-139755,139755,undergraduate,IPEDS_EF2022A,18415,IPEDS_EF2023A,19505,1090
IPEDS-139755,139755,graduate,IPEDS_EF2022A,26881,IPEDS_EF2023A,28441,1560
IPEDS-139755,139755,fullTime,IPEDS_EF2022A,23912,IPEDS_EF2023A,25178,1266
IPEDS-139755,139755,partTime,IPEDS_EF2022A,21384,IPEDS_EF2023A,22768,1384
IPEDS-151351,151351,totalEnrollment,IPEDS_EF2022A,47005,IPEDS_EF2023A,47527,522
IPEDS-151351,151351,undergraduate,IPEDS_EF2022A,35660,IPEDS_EF2023A,36833,1173
IPEDS-151351,151351,graduate,IPEDS_EF2022A,11345,IPEDS_EF2023A,10694,-651
IPEDS-151351,151351,fullTime,IPEDS_EF2022A,41923,IPEDS_EF2023A,42650,727
IPEDS-151351,151351,partTime,IPEDS_EF2022A,5082,IPEDS_EF2023A,4877,-205
IPEDS-153603,153603,totalEnrollment,IPEDS_EF2022A,29969,IPEDS_EF2023A,30177,208
IPEDS-153603,153603,undergraduate,IPEDS_EF2022A,25241,IPEDS_EF2023A,25332,91
IPEDS-153603,153603,graduate,IPEDS_EF2022A,4728,IPEDS_EF2023A,4845,117
